Harry Potter and the Order of the Phoenix	tt0373889	http://www.imdb.com/title/tt0373889/business	150000000	292004738	77108414	11 July 2007
Twilight	tt1099212	http://www.imdb.com/title/tt1099212/business	37000000	191465414	69637740	21 November 2008
Harry Potter and the Goblet of Fire	tt0330373	http://www.imdb.com/title/tt0330373/business	150000000	290013036	102335066	18 November 2005
Harry Potter and the Prisoner of Azkaban	tt0304141	http://www.imdb.com/title/tt0304141/business	130000000	249358727	93687367	4 June 2004
The Da Vinci Code	tt0382625	http://www.imdb.com/title/tt0382625/business	125000000	217536138	77073388	19 May 2006
Harry Potter and the Sorcerer's Stone	tt0241527	http://www.imdb.com/title/tt0241527/business	125000000	317557891	90294621	16 November 2001
Harry Potter and the Chamber of Secrets	tt0295297	http://www.imdb.com/title/tt0295297/business	100000000	261970615	88357488	15 November 2002
Harry Potter and the Half-Blood Prince	tt0417741	http://www.imdb.com/title/tt0417741/business	250000000	301959197	77835727	15 July 2009
Eragon	tt0449010	http://www.imdb.com/title/tt0449010/business	100000000	75021527	23239907	15 December 2006
Memoirs of a Geisha	tt0397535	http://www.imdb.com/title/tt0397535/business	85000000	57010853	682504	23 December 2005
The Cat in the Hat	tt0312528	http://www.imdb.com/title/tt0312528/business	109000000	100446895	38329160	21 November 2003
Harry Potter and the Deathly Hallows	tt1201607	http://www.imdb.com/title/tt1201607/business	125000000	381011219	169189427	15 July 2011
The Lion, the Witch, and the Wardrobe	tt0363771	http://www.imdb.com/title/tt0363771/business	180000000	291709845	65556312	9 December 2005
The Golden Compass	tt0385752	http://www.imdb.com/title/tt0385752/business	180000000	70083519	25783232	7 December 2007
The Lightning Thief	tt0814255	http://www.imdb.com/title/tt0814255/business	95000000	88761720		12 February 2010
Ella Enchanted	tt0327679	http://www.imdb.com/title/tt0327679/business	35000000	22913677	6169030	9 April 2004
New Moon	tt0032840	http://www.imdb.com/title/tt0032840/business				28 June 1940
Pride and Prejudice	tt0112130	http://www.imdb.com/title/tt0112130/business				
To Kill a Mockingbird	tt0056592	http://www.imdb.com/title/tt0056592/business	2000000	13129846		16 March 1963
Charlotte's Web	tt0413895	http://www.imdb.com/title/tt0413895/business		82506325	11457353	15 December 2006
Holes	tt0311289	http://www.imdb.com/title/tt0311289/business	20000000	67406573	16300155	18 April 2003
The Hunger Games	tt1392170	http://www.imdb.com/title/tt1392170/business	78000000	408010692	152535747	23 March 2012
Angels & Demons	tt0808151	http://www.imdb.com/title/tt0808151/business	150000000	133375846	46204168	15 May 2009
How the Grinch Stole Christmas!	tt0060345	http://www.imdb.com/title/tt0060345/business				
Interview with the Vampire	tt0110148	http://www.imdb.com/title/tt0110148/business	60000000	105264608	36389705	11 November 1994
Eclipse	tt0109705	http://www.imdb.com/title/tt0109705/business		86438		13 October 1995
The Count of Monte Cristo	tt0245844	http://www.imdb.com/title/tt0245844/business	35000000	54234062	11376150	25 January 2002
The Fellowship of the Ring	tt0120737	http://www.imdb.com/title/tt0120737/business	93000000	315544750	47211490	19 December 2001
Romeo and Juliet	tt0063518	http://www.imdb.com/title/tt0063518/business		38901218		8 October 1968
